22
1 2
1 3
1 6
1 10
4 5
4 6
4 8
6 7
6 13
8 9
8 10
10 11
12 13
12 15
12 18
13 16
13 20
14 17
14 18
14 20
18 19
20 21
20 22
1 6 4
1 6 7
1 10 8
1 10 11
1 6 13
2 1 3
2 1 6
2 1 10
3 1 6
3 1 10
4 6 7
4 8 9
4 8 10
4 6 13
5 4 6
5 4 8
6 4 8
6 1 10
6 13 12
6 13 16
6 13 20
7 6 13
8 10 11
9 8 10
12 18 14
12 13 16
12 18 19
12 13 20
13 20 14
13 12 15
13 12 18
13 20 21
13 20 22
14 18 19
14 20 21
14 20 22
15 12 18
16 13 20
17 14 18
17 14 20
18 14 20
21 20 22
1 10 8 4
1 6 4 5
1 6 4 8
1 10 8 9
1 6 13 12
1 6 13 16
1 6 13 20
2 1 6 4
2 1 6 7
2 1 10 8
2 1 10 11
2 1 6 13
3 1 6 4
3 1 6 7
3 1 10 8
3 1 10 11
3 1 6 13
4 6 1 10
4 8 10 11
4 6 13 12
4 6 13 16
4 6 13 20
5 4 6 7
5 4 8 9
5 4 8 10
5 4 6 13
6 1 10 8
6 4 8 9
6 4 8 10
6 1 10 11
6 13 20 14
6 13 12 15
6 13 12 18
6 13 20 21
6 13 20 22
7 6 4 8
7 6 1 10
7 6 13 12
7 6 13 16
7 6 13 20
8 4 6 13
9 8 10 11
10 1 6 13
12 13 20 14
12 18 14 17
12 18 14 20
12 13 20 21
12 13 20 22
13 12 18 14
13 20 14 17
13 20 14 18
13 12 18 19
14 18 12 15
14 20 13 16
15 12 13 16
15 12 18 19
15 12 13 20
16 13 12 18
16 13 20 21
16 13 20 22
17 14 18 19
17 14 20 21
17 14 20 22
18 12 13 20
18 14 20 21
18 14 20 22
19 18 14 20
