55
1 2
1 26
1 27
1 28
2 3
2 29
2 30
3 4
3 23
3 31
4 5
4 16
4 32
5 6
5 33
6 7
6 21
7 8
7 34
8 9
8 17
8 35
9 10
9 20
9 36
10 11
10 37
11 12
11 38
12 13
12 39
13 14
13 40
14 15
14 41
15 22
15 23
16 42
16 43
16 44
17 18
17 24
17 45
18 19
18 46
18 47
19 20
19 25
19 48
20 49
20 50
21 51
21 52
21 53
24 54
25 55
1 2 3
1 2 29
1 2 30
2 3 4
2 3 23
2 1 26
2 1 27
2 1 28
2 3 31
3 4 5
3 23 15
3 4 16
3 2 29
3 2 30
3 4 32
4 5 6
4 3 23
4 3 31
4 5 33
4 16 42
4 16 43
4 16 44
5 6 7
5 4 16
5 6 21
5 4 32
6 7 8
6 5 33
6 7 34
6 21 51
6 21 52
6 21 53
7 8 9
7 8 17
7 6 21
7 8 35
8 9 10
8 17 18
8 9 20
8 17 24
8 7 34
8 9 36
8 17 45
9 10 11
9 8 17
9 20 19
9 8 35
9 10 37
9 20 49
9 20 50
10 11 12
10 9 20
10 9 36
10 11 38
11 12 13
11 10 37
11 12 39
12 13 14
12 11 38
12 13 40
13 14 15
13 12 39
13 14 41
14 15 22
14 15 23
14 13 40
15 14 41
16 4 32
17 18 19
17 8 35
17 18 46
17 18 47
17 24 54
18 19 20
18 17 24
18 19 25
18 17 45
18 19 48
19 18 46
19 18 47
19 20 49
19 20 50
19 25 55
20 19 25
20 9 36
20 19 48
22 15 23
23 3 31
24 17 45
25 19 48
26 1 27
26 1 28
27 1 28
29 2 30
42 16 43
42 16 44
43 16 44
46 18 47
49 20 50
51 21 52
51 21 53
52 21 53
1 2 3 4
1 2 3 23
1 2 3 31
2 3 4 5
2 3 23 15
2 3 4 16
2 3 4 32
3 4 5 6
3 23 15 14
3 23 15 22
3 2 1 26
3 2 1 27
3 2 1 28
3 4 5 33
3 4 16 42
3 4 16 43
3 4 16 44
4 5 6 7
4 3 23 15
4 5 6 21
4 3 2 29
4 3 2 30
5 6 7 8
5 4 3 23
5 4 3 31
5 6 7 34
5 4 16 42
5 4 16 43
5 4 16 44
5 6 21 51
5 6 21 52
5 6 21 53
6 7 8 9
6 5 4 16
6 7 8 17
6 5 4 32
6 7 8 35
7 8 9 10
7 8 17 18
7 8 9 20
7 8 17 24
7 6 5 33
7 8 9 36
7 8 17 45
7 6 21 51
7 6 21 52
7 6 21 53
8 9 10 11
8 9 20 19
8 17 18 19
8 7 6 21
8 9 10 37
8 17 18 46
8 17 18 47
8 9 20 49
8 9 20 50
8 17 24 54
9 10 11 12
9 8 17 18
9 20 19 18
9 8 17 24
9 20 19 25
9 8 7 34
9 10 11 38
9 8 17 45
9 20 19 48
10 11 12 13
10 9 8 17
10 9 20 19
10 9 8 35
10 11 12 39
10 9 20 49
10 9 20 50
11 12 13 14
11 10 9 20
11 10 9 36
11 12 13 40
12 13 14 15
12 11 10 37
12 13 14 41
13 14 15 22
13 14 15 23
13 12 11 38
14 13 12 39
15 23 3 31
15 14 13 40
16 4 3 23
16 4 3 31
16 4 5 33
17 8 9 20
17 18 19 20
17 18 19 25
17 8 7 34
17 8 9 36
17 18 19 48
18 17 8 35
18 19 20 49
18 19 20 50
18 17 24 54
18 19 25 55
19 18 17 24
19 20 9 36
19 18 17 45
20 9 8 35
20 9 10 37
20 19 18 46
20 19 18 47
20 19 25 55
21 6 5 33
21 6 7 34
22 15 14 41
23 3 2 29
23 3 2 30
23 3 4 32
23 15 14 41
24 17 8 35
24 17 18 46
24 17 18 47
25 19 18 46
25 19 18 47
25 19 20 49
25 19 20 50
26 1 2 29
26 1 2 30
27 1 2 29
27 1 2 30
28 1 2 29
28 1 2 30
29 2 3 31
30 2 3 31
31 3 4 32
32 4 5 33
32 4 16 42
32 4 16 43
32 4 16 44
34 7 8 35
35 8 9 36
35 8 17 45
36 9 10 37
36 9 20 49
36 9 20 50
37 10 11 38
38 11 12 39
39 12 13 40
40 13 14 41
45 17 18 46
45 17 18 47
45 17 24 54
46 18 19 48
47 18 19 48
48 19 20 49
48 19 20 50
48 19 25 55
